,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
238,Naby Keïta,10,0,0,1,0,315,361,9,2,21.2,0,11,17,10,430,10,8,279,320,2020-2021
239,Caoimhín Kelleher,2,0,0,0,0,51,64,0,0,,0,0,0,0,70,0,0,39,34,2020-2021
240,Martin Kelly,1,0,0,0,0,2,3,0,0,,0,1,1,0,4,0,0,1,0,2020-2021
241,Jonjoe Kenny,4,0,0,0,0,47,59,0,0,,0,2,2,0,69,0,0,27,42,2020-2021
242,Reda Khadra,1,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,1,1,2020-2021
243,Max Kilman,18,0,1,4,0,664,757,7,2,12.2,0,21,14,17,877,8,7,550,628,2020-2021
244,Joshua King,11,0,0,0,0,32,50,3,1,13.8,0,4,0,3,80,7,4,45,56,2020-2021
245,Mateusz Klich,35,4,5,6,0,1228,1545,34,9,22.9,0,38,61,13,1753,27,13,1011,1255,2020-2021
246,Robin Koch,17,0,0,1,0,664,773,9,1,12.3,0,27,19,18,910,6,4,549,606,2020-2021
247,Sead Kolašinac,1,0,0,0,0,57,67,0,0,,0,0,0,0,69,0,0,31,50,2020-2021
