,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,distance,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
346,Jack O'Connell,33,0,1,4,0,1214,1683,14,2,10.9,0,23,20,38,2037,16,9,858,1153,2019-2020
347,Michael Obafemi,21,3,2,1,0,110,139,12,5,14.4,0,7,14,3,239,24,14,140,175,2019-2020
348,Angelo Ogbonna,31,2,0,4,0,745,984,13,4,11.0,0,38,32,50,1301,5,5,607,620,2019-2020
349,Divock Origi,28,4,1,1,0,143,216,14,6,15.7,0,12,9,2,323,26,12,229,259,2019-2020
350,Ben Osborn,13,0,0,0,0,176,258,3,1,13.8,0,15,16,6,322,8,4,172,198,2019-2020
351,Nicolás Otamendi,24,2,0,3,0,1420,1539,15,7,8.4,0,28,33,15,1715,3,3,1282,1355,2019-2020
352,Alex Oxlade-Chamberlain,30,4,1,1,0,596,758,40,10,22.5,0,18,21,26,980,49,29,667,729,2019-2020
353,Mesut Özil,18,1,2,1,0,758,913,9,3,14.2,0,17,23,4,1009,22,16,591,797,2019-2020
354,Emerson Palmieri,15,0,0,3,0,708,875,13,7,19.2,1,23,15,13,1009,16,12,578,657,2019-2020
355,Sokratis Papastathopoulos,19,2,0,6,0,914,1043,7,2,9.9,0,25,21,30,1215,5,5,739,859,2019-2020
356,Troy Parrott,2,0,0,0,0,4,4,0,0,,0,0,0,0,5,0,0,5,5,2019-2020
357,Rui Patrício,38,0,0,0,0,567,864,0,0,,0,0,2,2,909,0,0,376,234,2019-2020
358,Pedro,11,1,1,1,0,266,337,22,10,15.8,0,15,15,9,431,21,12,310,320,2019-2020
359,Nicolas Pépé,31,5,6,4,0,610,824,49,17,20.0,7,32,16,15,1117,133,72,745,826,2019-2020
360,Andreas Pereira,25,1,3,3,0,569,780,37,14,22.9,3,24,39,13,973,33,20,554,715,2019-2020
361,Ricardo Pereira,28,3,2,1,0,1533,1948,18,5,18.4,0,119,106,38,2401,101,60,1338,1471,2019-2020
362,Roberto Pereyra,28,3,0,4,0,540,662,20,8,19.1,4,20,28,21,880,53,20,585,601,2019-2020
363,Ayoze Pérez,33,8,4,0,0,597,770,46,21,14.5,0,45,54,33,1086,68,36,694,791,2019-2020
364,Jordan Pickford,38,0,0,2,0,905,1383,0,0,,0,0,4,0,1456,0,0,821,647,2019-2020
365,Brandon Pierrick,2,0,0,0,0,5,9,0,0,,0,0,0,0,13,0,0,4,5,2019-2020
366,Erik Pieters,24,0,4,2,0,699,965,14,3,22.1,0,54,69,30,1210,12,4,533,588,2019-2020
367,Daniel Podence,9,1,0,0,0,70,101,10,3,14.0,0,3,2,4,145,11,7,106,119,2019-2020
368,Paul Pogba,16,1,3,1,0,885,1045,21,7,22.5,2,20,16,12,1175,38,27,712,912,2019-2020
369,Nick Pope,38,0,0,1,0,556,1194,0,0,,0,1,2,0,1280,0,0,613,375,2019-2020
370,Dennis Praet,27,1,2,2,0,448,546,16,3,18.6,0,33,29,19,713,25,12,440,460,2019-2020
371,Sebastian Prödl,1,0,0,0,0,6,11,2,0,10.7,0,0,0,0,17,0,0,3,7,2019-2020
372,Davy Pröpper,35,1,2,4,0,1511,1833,29,8,21.4,0,64,74,27,2159,64,46,1200,1519,2019-2020
373,Teemu Pukki,36,11,3,3,0,424,539,78,33,15.5,0,12,23,13,792,43,24,447,527,2019-2020
374,Christian Pulisic,25,9,4,0,0,539,706,63,25,13.4,0,23,24,15,1005,108,55,744,830,2019-2020
375,Ignacio Pussetto,7,0,0,1,0,20,36,0,0,,0,7,8,2,60,5,2,24,22,2019-2020
376,Domingos Quina,4,0,0,0,0,10,10,1,1,27.3,0,2,2,3,23,2,1,13,12,2019-2020
377,Aaron Ramsdale,37,0,1,0,0,675,1136,0,0,,0,4,3,0,1246,0,0,662,403,2019-2020
378,Darren Randolph,2,0,0,0,0,22,41,0,0,,0,0,0,0,48,0,0,13,10,2019-2020
379,Marcus Rashford,31,17,7,3,0,745,989,87,37,19.7,16,13,23,23,1344,122,60,802,1077,2019-2020
380,Nathan Redmond,32,4,4,2,0,763,1072,59,21,18.9,2,49,57,39,1442,123,79,908,990,2019-2020
381,Pepe Reina,12,0,0,1,0,281,399,0,0,,0,0,2,0,433,0,0,195,166,2019-2020
382,Declan Rice,38,1,3,6,0,1506,1768,31,9,23.7,0,116,98,41,2144,65,49,1230,1278,2019-2020
383,Richarlison,36,13,3,8,0,533,853,90,32,14.8,0,70,56,34,1344,111,61,855,938,2019-2020
384,Diego Rico,27,0,4,6,0,993,1516,11,3,26.3,1,61,59,31,1866,24,13,830,835,2019-2020
385,Jaïro Riedewald,17,0,0,0,0,293,399,3,0,27.9,0,14,11,7,478,11,8,188,248,2019-2020
386,Matt Ritchie,18,2,1,4,0,480,701,25,7,24.4,1,22,15,20,855,14,8,425,466,2019-2020
387,Roberto,8,0,0,0,0,112,230,0,0,,0,0,0,0,258,0,0,117,78,2019-2020
388,Patrick Roberts,3,0,0,0,0,6,9,0,0,,0,0,0,0,11,4,4,9,9,2019-2020
389,Andrew Robertson,36,2,12,2,0,2391,2996,22,6,18.6,0,54,61,29,3296,44,22,2152,2317,2019-2020
390,Callum Robinson,16,1,1,1,0,120,154,12,4,14.9,0,6,7,3,222,13,5,131,154,2019-2020
391,Jack Robinson,6,0,0,0,0,203,274,0,0,,0,10,6,12,343,2,2,179,183,2019-2020
392,Rodri,35,3,2,8,0,2400,2590,24,9,20.1,0,50,63,19,2809,33,30,2085,2212,2019-2020
393,Jay Rodriguez,36,8,1,1,0,326,483,66,26,17.6,0,29,33,33,779,39,18,444,551,2019-2020
394,Jack Rodwell,1,0,0,0,0,2,2,0,0,,0,0,0,0,3,0,0,0,1,2019-2020
395,Marcos Rojo,3,0,0,1,0,40,60,1,0,6.7,0,3,2,2,74,1,0,33,41,2019-2020
396,Oriol Romeu,30,0,0,5,0,871,1083,8,0,23.7,0,55,75,35,1291,16,13,584,733,2019-2020
397,Danny Rose,12,0,0,5,0,437,580,2,0,19.0,0,18,20,14,680,20,10,384,423,2019-2020
398,Danny Rose,11,0,0,2,0,322,422,0,0,,0,21,21,11,497,9,5,301,291,2019-2020
399,Antonio Rüdiger,20,2,0,3,0,1301,1511,12,3,13.6,0,28,25,15,1667,4,3,1145,1216,2019-2020
400,Lukas Rupp,12,0,0,1,0,205,272,4,2,17.7,0,15,17,11,352,6,4,196,218,2019-2020
401,Mathew Ryan,38,0,0,0,0,1217,1482,0,0,,0,1,4,0,1563,0,0,907,852,2019-2020
402,Allan Saint-Maximin,26,3,4,0,0,353,485,46,21,22.5,0,13,18,5,766,180,121,616,561,2019-2020
403,Romain Saïss,33,2,1,12,1,1285,1649,24,8,13.1,2,55,46,31,1996,10,7,926,1192,2019-2020
